session_id_synthesis,region,stimulus_family,target,observed_memory_gain_r2,shuffle_gain_mean,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,n_rows,target_mean,target_sd,target_var,target_iqr,target_cv_abs,target_min,target_max,target_lag1_autocorr,trial_col_used,time_col_used,controlled_gain_residual_variance_autocorr
715093703,CA1,spontaneous,population_mean_rate_hz,0.047326946689318,-0.0046934975216601,0.0520204442109781,0.0099009900990099,0.0,100,2116,5.441587901701323,2.197580903461308,4.829361827257817,3.0,0.40384919680776016,0.0,16.8,0.32953743772945804,stimulus_presentation_id,bin_start_time,0.017584659168338825
715093703,LGd,spontaneous,population_mean_rate_hz,0.0155831993568249,-0.0028526320179625,0.0184358313747874,0.0099009900990099,0.02,100,2116,10.116351606805294,3.6450214911730296,13.286181671113257,4.800000000000001,0.3603098857023371,0.0,24.4,0.7095643490786081,stimulus_presentation_id,bin_start_time,-0.028287751749143258
715093703,VISl,spontaneous,population_mean_rate_hz,0.0762302269086685,-0.0030231607086091,0.0792533876172776,0.0099009900990099,0.03,100,2116,2.6967863894139885,1.2137779069104966,1.473256807304026,1.8,0.4500830735703173,0.0,7.2,0.6549741935536054,stimulus_presentation_id,bin_start_time,0.02402039667666704
715093703,VISp,spontaneous,population_mean_rate_hz,0.0244764893134671,-0.0024829271962505,0.0269594165097177,0.0099009900990099,0.05,100,2116,8.056238185255198,2.5461552767108997,6.482906693122757,3.0,0.31604766618874847,0.0,20.8,0.6987772229987154,stimulus_presentation_id,bin_start_time,-0.023343280534241312
715093703,CA1,spontaneous,population_std_rate_hz,0.0440263547668353,-0.00437507957213,0.0484014343389653,0.0099009900990099,0.09,100,2116,9.57812850666166,3.698308687602009,13.677487148792494,4.637956664590495,0.3861201783865629,0.0,32.60920115550211,0.3089749684317995,stimulus_presentation_id,bin_start_time,0.02077571514702515
715093703,LGd,spontaneous,population_std_rate_hz,0.0022311221326578,-0.0043099705745975,0.0065410927072554,0.0099009900990099,0.02,100,2116,10.945286016719649,3.31163082890573,10.966898746958853,4.482488764956365,0.3025622924651482,0.0,22.64420455657473,0.4693672813371759,stimulus_presentation_id,bin_start_time,-0.029953758587002402
715093703,VISl,spontaneous,population_std_rate_hz,0.0497455883183709,-0.0039213003220106,0.0536668886403816,0.0099009900990099,0.03,100,2116,4.4818477336059965,1.5267999150718339,2.3311179806633593,1.9785875944691584,0.34066304922034096,0.0,13.919770113044253,0.5103195046502399,stimulus_presentation_id,bin_start_time,0.007151286277462719
715093703,VISp,spontaneous,population_std_rate_hz,0.0364258866764375,-0.002548993787467,0.0389748804639045,0.0099009900990099,0.18,100,2116,13.527966121126951,4.104679025057927,16.848389898750497,4.920764911677665,0.3034217404379249,0.0,37.0642685075532,0.7004407993068203,stimulus_presentation_id,bin_start_time,-0.005910045817954429
715093703,CA1,spontaneous,active_unit_fraction,0.117412684036294,-0.0037325638701709,0.121145247906465,0.0099009900990099,0.07,100,2116,0.3713137996219282,0.1152523136838493,0.0132830958094804,0.15000000000000002,0.3103906016983179,0.0,0.75,0.4858890810361054,stimulus_presentation_id,bin_start_time,0.06825907337452443
715093703,LGd,spontaneous,active_unit_fraction,0.0233504054975289,-0.0032322046188601,0.026582610116389,0.0099009900990099,0.03,100,2116,0.6683837429111531,0.13004794969631653,0.01691246922021567,0.15000000000000002,0.1945707852343874,0.0,0.95,0.5860705119060562,stimulus_presentation_id,bin_start_time,-0.031014320415670347
715093703,VISl,spontaneous,active_unit_fraction,0.0922910153305985,-0.0030717674405427,0.0953627827711413,0.0099009900990099,0.07,100,2116,0.33088374291115313,0.12241511248187822,0.014985459763950897,0.15000000000000002,0.36996411913285937,0.0,0.7,0.6373115521922224,stimulus_presentation_id,bin_start_time,0.03533282766626779
715093703,VISp,spontaneous,active_unit_fraction,0.0605008883495769,-0.0023610835770185,0.0628619719265954,0.0099009900990099,0.03,100,2116,0.44709357277882794,0.1365128445408297,0.018635756724628742,0.20000000000000007,0.3053339454021982,0.0,0.8,0.7589394764433642,stimulus_presentation_id,bin_start_time,-0.0028919489978362495
715093703,CA1,spontaneous,population_l2_rate_norm,0.0446030035331111,-0.0054323148942475,0.0500353184273587,0.0099009900990099,0.03,100,2116,49.44374804507239,18.774261704665903,352.47290255528463,24.17713492961633,0.3797095173195832,0.0,164.048773235279,0.309849618206456,stimulus_presentation_id,bin_start_time,0.04248425484328986
715093703,LGd,spontaneous,population_l2_rate_norm,0.0070534319831627,-0.0032498763942809,0.0103033083774437,0.0099009900990099,0.04,100,2116,67.0018300499191,20.942577048834533,438.5915334463709,28.950113919633736,0.3125672393310921,0.0,139.82846634358827,0.613835234715464,stimulus_presentation_id,bin_start_time,-0.010231817430746084
715093703,VISl,spontaneous,population_l2_rate_norm,0.0594047105874542,-0.003506062428218,0.0629107730156723,0.0099009900990099,0.06,100,2116,23.509429143611477,8.401425767737168,70.58395493079806,11.477821767901759,0.3573640906555079,0.0,69.2820323027551,0.568740858651689,stimulus_presentation_id,bin_start_time,0.03303051320157008
715093703,VISp,spontaneous,population_l2_rate_norm,0.029148624431754,-0.0025601594226101,0.0317087838543641,0.0099009900990099,0.12,100,2116,70.63936718363497,20.85347809080601,434.86754848372624,23.09479477292716,0.2952104318346278,0.0,190.07366992826755,0.7017811366761363,stimulus_presentation_id,bin_start_time,0.006964606892391263
715093703,CA1,spontaneous,population_rate_entropy,0.0967472562941893,-0.0038236859405771,0.1005709422347665,0.0099009900990099,0.07,100,2116,1.7115548112000303,0.3336573075306723,0.11132719886861761,0.4336382136225987,0.19494398037801586,-0.0,2.4215390627464286,0.493249716352808,stimulus_presentation_id,bin_start_time,0.04792096392718581
715093703,LGd,spontaneous,population_rate_entropy,0.0305988378262872,-0.0038497322318476,0.0344485700581348,0.0099009900990099,0.06,100,2116,2.3406737320690385,0.24515851238069078,0.060102696192713315,0.270474309727724,0.10473843877586397,-0.0,2.8604329318741626,0.5540472346720537,stimulus_presentation_id,bin_start_time,-0.021372331969838107
715093703,VISl,spontaneous,population_rate_entropy,0.104499578744485,-0.0031964358582593,0.1076960146027443,0.0099009900990099,0.05,100,2116,1.6710361789405295,0.4156316932264026,0.17274970441424645,0.5451859360427169,0.24872692672020583,0.0,2.5393673998815784,0.6286123050481832,stimulus_presentation_id,bin_start_time,0.048990581068577385
